Interactor	Interactor Systematic Name	Interactor	Interactor Systematic Name	Assay	Annotation	Action	Modification	Source	Reference	Note
APL2	YKL135C	RPL36B	YPL249C-A	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APL2	YKL135C	RPL6B	YLR448W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APL2	YKL135C	RPL9A	YGL147C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APL2	YKL135C	RPS6A	YPL090C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APL2	YKL135C	APS1	YLR170C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APL2	YKL135C	APM1	YPL259C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APL2	YKL135C	APL4	YPR029C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APL6	YGR261C	APL5	YPL195W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APL6	YGR261C	APL5	YPL195W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APM1	YPL259C	APL4	YPR029C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APM1	YPL259C	APL4	YPR029C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APM2	YHL019C	APL2	YKL135C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APM2	YHL019C	APL4	YPR029C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APM2	YHL019C	APS1	YLR170C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APM2	YHL019C	MIL1	YFL034W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APM2	YHL019C	APL2	YKL135C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APM3	YBR288C	APL6	YGR261C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APM3	YBR288C	APL6	YGR261C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APM3	YBR288C	APL5	YPL195W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APS1	YLR170C	APL4	YPR029C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APS1	YLR170C	APM1	YPL259C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APS1	YLR170C	APM1	YPL259C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APS1	YLR170C	APL4	YPR029C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARB1	YER036C	RPL20A	YMR242C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARB1	YER036C	RPL3	YOR063W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARB1	YER036C	RPL6A	YML073C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARB1	YER036C	RPL8A	YHL033C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARB1	YER036C	VMA13	YPR036W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARB1	YER036C	DBP8	YHR169W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARB1	YER036C	RPL17A	YKL180W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARB1	YER036C	RPL28	YGL103W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARB1	YER036C	RPL8B	YLL045C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARB1	YER036C	RPS3	YNL178W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARB1	YER036C	RPS4A	YJR145C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARC1	YGL105W	GUS1	YGL245W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARC1	YGL105W	MES1	YGR264C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARC1	YGL105W	GUS1	YGL245W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARC1	YGL105W	MES1	YGR264C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARC15	YIL062C	ARP2	YDL029W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARC15	YIL062C	ARC18	YLR370C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARC15	YIL062C	ARC19	YKL013C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARC15	YIL062C	ARC35	YNR035C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARC15	YIL062C	ARP3	YJR065C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARC15	YIL062C	ARP3	YJR065C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARC15	YIL062C	ARC18	YLR370C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARC15	YIL062C	ARC35	YNR035C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARC18	YLR370C	ARC35	YNR035C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARC18	YLR370C	ARC35	YNR035C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARC19	YKL013C	ARP2	YDL029W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ARC19	YKL013C	ARP3	YJR065C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
